"","Mound_ID","Shell_ID","Cage_ID","Cage_type","Mound_Num","Site","Sample_dat","Num_spat","Length_1","Length_2","Length_3","Length_4","Length_5","Total_m","meas30","meas25","meas20","percentless30","Num_spat_30","percentless25","Num_spat_25","percentless20","Num_spat_20","Mound_Treat","Deployment","treatbi","treattri","Sample_dat_num","salc","saln","curc","curn","logNum_spat","Obs"
"1916","CrabHole196",144208,"14420","Large Mesh",196,"Crab Hole","Spring_2011",5,19.7,43,13.1,35.4,34.4,5,2,2,2,0.4,2,0.4,2,0.4,2,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.79175946922805,1277
"1918","CrabHole196",141842,"14184","Open",196,"Crab Hole","Spring_2011",4,35.3,21.6,17.7,17.3,NA,4,3,3,2,0.75,3,0.75,3,0.5,2,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.6094379124341,1278
"1919","CrabHole196",144202,"14420","Large Mesh",196,"Crab Hole","Spring_2011",3,19.4,19.1,54.4,NA,NA,3,2,2,2,0.666666666666667,2,0.666666666666667,2,0.666666666666667,2,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.38629436111989,1279
"1922","CrabHole196",144208,"14420","Large Mesh",196,"Crab Hole","Fall_2010",12,26.3,24.6,11.6,19.3,26.1,5,5,3,2,1,12,0.6,7,0.4,4.8,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,2.56494935746154,1280
"1923","CrabHole196",144207,"14420","Large Mesh",196,"Crab Hole","Spring_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,0,1281
"1924","CrabHole196",130149,"13014","Control",196,"Crab Hole","Spring_2011",3,28.3,27,20.3,NA,NA,3,3,1,0,1,3,0.333333333333333,1,0,0,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.38629436111989,1282
"1926","CrabHole196",133836,"13383","Roof",196,"Crab Hole","Fall_2010",6,13.1,16.6,14.7,9.2,19.6,5,5,5,5,1,6,1,6,1,6,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,1.94591014905531,1283
"1927","CrabHole196",133835,"13383","Roof",196,"Crab Hole","Fall_2010",9,19.9,19.6,20.8,9.2,19.6,5,5,5,4,1,9,1,9,0.8,7.2,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,2.30258509299405,1284
"1929","CrabHole196",144207,"14420","Large Mesh",196,"Crab Hole","Fall_2010",2,25,20.6,NA,NA,NA,2,2,2,0,1,2,1,2,0,0,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,1.09861228866811,1285
"1931","CrabHole196",133839,"13383","Roof",196,"Crab Hole","Fall_2010",14,21.9,15.3,10.6,27.2,12.9,5,5,4,3,1,14,0.8,11,0.6,8.4,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,2.70805020110221,1286
"1934","CrabHole196",119545,"11954","Small Mesh",196,"Crab Hole","Spring_2011",1,21.7,NA,NA,NA,NA,1,1,1,0,1,1,1,1,0,0,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,0.693147180559945,1287
"1936","CrabHole196",133838,"13383","Roof",196,"Crab Hole","Fall_2010",9,10.2,13.3,8.6,14.2,5.7,5,5,5,5,1,9,1,9,1,9,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,2.30258509299405,1288
"1938","CrabHole196",130145,"13014","Control",196,"Crab Hole","Spring_2011",4,22,24.8,26.2,32.3,NA,4,3,2,0,0.75,3,0.5,2,0,0,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.6094379124341,1289
"1940","CrabHole196",130144,"13014","Control",196,"Crab Hole","Spring_2011",4,21.7,18.3,21.5,23.7,NA,4,4,4,1,1,4,1,4,0.25,1,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.6094379124341,1290
"1946","CrabHole196",119542,"11954","Small Mesh",196,"Crab Hole","Spring_2011",2,30.8,17.6,NA,NA,NA,2,1,1,1,0.5,1,0.5,1,0.5,1,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.09861228866811,1291
"1949","CrabHole196",119547,"11954","Small Mesh",196,"Crab Hole","Spring_2011",5,28.8,24.7,19.1,23.8,23.7,5,5,4,1,1,5,0.8,4,0.2,1,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.79175946922805,1292
"1951","CrabHole196",144201,"14420","Large Mesh",196,"Crab Hole","Fall_2010",16,15.4,13.1,11.7,7.4,15.6,5,5,5,5,1,16,1,16,1,16,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,2.83321334405622,1293
"1952","CrabHole196",133831,"13383","Roof",196,"Crab Hole","Fall_2010",4,16.4,18.8,24.5,14.1,NA,4,4,4,3,1,4,1,4,0.75,3,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,1.6094379124341,1294
"1954","CrabHole196",141844,"14184","Open",196,"Crab Hole","Spring_2011",4,21.2,36.3,29.2,20.8,NA,4,3,2,0,0.75,3,0.5,2,0,0,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.6094379124341,1295
"1955","CrabHole196",13048,"1304","Control",196,"Crab Hole","Fall_2010",6,20.7,17.2,15,9.2,20.2,5,5,5,3,1,6,1,6,0.6,3.6,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,1.94591014905531,1296
"1956","CrabHole196",144205,"14420","Large Mesh",196,"Crab Hole","Fall_2010",4,31.2,10.2,6.1,18.7,NA,4,3,3,3,0.75,3,0.75,3,0.75,3,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,1.6094379124341,1297
"1959","CrabHole196",141845,"14184","Open",196,"Crab Hole","Fall_2010",3,22.6,13.8,21.8,NA,NA,3,3,3,1,1,3,1,3,0.333333333333333,1,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,1.38629436111989,1298
"1960","CrabHole196",119549,"11954","Small Mesh",196,"Crab Hole","Fall_2011",2,52.9,34.7,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Large","Late","New","Late dep",4,"Low",14.68,"Medium",6.35,1.09861228866811,1299
"1961","CrabHole196",130143,"13014","Control",196,"Crab Hole","Spring_2011",3,34.9,31,25.3,NA,NA,3,1,0,0,0.333333333333333,1,0,0,0,0,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.38629436111989,1300
"1963","CrabHole196",130142,"13014","Control",196,"Crab Hole","Spring_2011",5,40.5,24.68,32.2,25,19.5,5,3,3,1,0.6,3,0.6,3,0.2,1,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.79175946922805,1301
"1964","CrabHole196",133836,"13383","Roof",196,"Crab Hole","Spring_2011",4,24.8,38.7,16.3,14.6,NA,4,3,3,2,0.75,3,0.75,3,0.5,2,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.6094379124341,1302
"1966","CrabHole196",144204,"14420","Large Mesh",196,"Crab Hole","Fall_2010",23,29.1,28.7,24.3,10.8,12.7,5,5,3,2,1,23,0.6,14,0.4,9.2,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,3.17805383034795,1303
"1969","CrabHole196",119541,"11954","Small Mesh",196,"Crab Hole","Spring_2011",6,32.4,13.5,22.5,25.6,41.7,5,3,2,1,0.6,3.6,0.4,2,0.2,1.2,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.94591014905531,1304
"1972","CrabHole196",119542,"11954","Small Mesh",196,"Crab Hole","Fall_2011",5,35.6,55,30.6,59.4,10.8,5,1,1,1,0.2,1,0.2,1,0.2,1,"Late Large","Late","New","Late dep",4,"Low",14.68,"Medium",6.35,1.79175946922805,1305
"1973","CrabHole196",133834,"13383","Roof",196,"Crab Hole","Spring_2011",12,33,23.3,24.4,24.7,2.7,5,4,4,1,0.8,9.6,0.8,10,0.2,2.4,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,2.56494935746154,1306
"1974","CrabHole196",119548,"11954","Small Mesh",196,"Crab Hole","Fall_2011",11,53.8,47.1,53.3,36.4,22.5,5,1,1,0,0.2,2.2,0.2,2,0,0,"Late Large","Late","New","Late dep",4,"Low",14.68,"Medium",6.35,2.484906649788,1307
"1975","CrabHole196",141847,"14184","Open",196,"Crab Hole","Fall_2010",3,10.3,13.8,20.5,NA,NA,3,3,3,2,1,3,1,3,0.666666666666667,2,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,1.38629436111989,1308
"1977","CrabHole196",133837,"13383","Roof",196,"Crab Hole","Spring_2011",6,27.9,26.7,25.4,31.4,25.2,5,4,0,0,0.8,4.8,0,0,0,0,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.94591014905531,1309
"1978","CrabHole196",133832,"13383","Roof",196,"Crab Hole","Spring_2011",2,37.6,32.2,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.09861228866811,1310
"1980","CrabHole196",119545,"11954","Small Mesh",196,"Crab Hole","Fall_2011",9,36.5,9.9,48.6,46.5,18.2,5,2,2,2,0.4,3.6,0.4,4,0.4,3.6,"Late Large","Late","New","Late dep",4,"Low",14.68,"Medium",6.35,2.30258509299405,1311
"1981","CrabHole196",141843,"14184","Open",196,"Crab Hole","Spring_2011",2,23.7,32.6,NA,NA,NA,2,1,1,0,0.5,1,0.5,1,0,0,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.09861228866811,1312
"1984","CrabHole196",141846,"14184","Open",196,"Crab Hole","Fall_2010",13,22.9,30,19.6,15.5,12.9,5,5,4,3,1,13,0.8,10,0.6,7.8,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,2.63905732961526,1313
"1986","CrabHole196",144204,"14420","Large Mesh",196,"Crab Hole","Fall_2011",9,52.5,26,27.7,40.7,45,5,2,0,0,0.4,3.6,0,0,0,0,"Late Large","Late","New","Late dep",4,"Low",14.68,"Medium",6.35,2.30258509299405,1314
"1991","CrabHole196",141842,"14184","Open",196,"Crab Hole","Fall_2010",6,18.1,19.2,4.9,20.9,24.1,5,5,5,3,1,6,1,6,0.6,3.6,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,1.94591014905531,1315
"1992","CrabHole196",119543,"11954","Small Mesh",196,"Crab Hole","Fall_2011",11,37.1,49.8,8.4,19,12.8,5,3,3,3,0.6,6.6,0.6,7,0.6,6.6,"Late Large","Late","New","Late dep",4,"Low",14.68,"Medium",6.35,2.484906649788,1316
"1993","CrabHole196",144208,"14420","Large Mesh",196,"Crab Hole","Fall_2011",7,25.5,48.7,52.5,19.6,12.3,5,3,2,2,0.6,4.2,0.4,3,0.4,2.8,"Late Large","Late","New","Late dep",4,"Low",14.68,"Medium",6.35,2.07944154167984,1317
"1997","CrabHole196",144202,"14420","Large Mesh",196,"Crab Hole","Fall_2011",12,8.7,14.7,27.3,29.2,7.1,5,5,3,3,1,12,0.6,7,0.6,7.2,"Late Large","Late","New","Late dep",4,"Low",14.68,"Medium",6.35,2.56494935746154,1318
"1998","CrabHole196",144203,"14420","Large Mesh",196,"Crab Hole","Fall_2011",25,52.5,54,40,16.1,21.1,5,2,2,1,0.4,10,0.4,10,0.2,5,"Late Large","Late","New","Late dep",4,"Low",14.68,"Medium",6.35,3.25809653802148,1319
"1999","CrabHole196",13041,"1304","Control",196,"Crab Hole","Fall_2010",18,21.2,19.5,21.3,19.7,16,5,5,5,3,1,18,1,18,0.6,10.8,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,2.94443897916644,1320
"2001","CrabHole196",13047,"1304","Control",196,"Crab Hole","Fall_2010",9,24.4,10.1,21.2,16.3,14.3,5,5,5,3,1,9,1,9,0.6,5.4,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,2.30258509299405,1321
"2003","CrabHole196",144207,"14420","Large Mesh",196,"Crab Hole","Fall_2011",5,10.8,19.9,30.3,19.4,15.8,5,4,4,4,0.8,4,0.8,4,0.8,4,"Late Large","Late","New","Late dep",4,"Low",14.68,"Medium",6.35,1.79175946922805,1322
"2005","CrabHole196",13046,"1304","Control",196,"Crab Hole","Fall_2010",12,17,10.4,15.2,24.8,13,5,5,5,4,1,12,1,12,0.8,9.6,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,2.56494935746154,1323
"2006","CrabHole196",141841,"14184","Open",196,"Crab Hole","Fall_2010",8,25.9,23.8,22.4,17.9,12.5,5,5,4,2,1,8,0.8,6,0.4,3.2,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,2.19722457733622,1324
"2007","CrabHole196",141848,"14184","Open",196,"Crab Hole","Spring_2011",4,40,29.7,23.9,40.9,NA,4,2,1,0,0.5,2,0.25,1,0,0,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.6094379124341,1325
"2008","CrabHole196",141847,"14184","Open",196,"Crab Hole","Spring_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,0,1326
"2009","CrabHole196",133831,"13383","Roof",196,"Crab Hole","Spring_2011",3,35.3,36.1,26,NA,NA,3,1,0,0,0.333333333333333,1,0,0,0,0,"Late Large","Late","New","Late dep",3,"Low",14.68,"Medium",6.35,1.38629436111989,1327
"2011","CrabHole196",13042,"1304","Control",196,"Crab Hole","Fall_2010",12,12.8,17.9,11.2,8.3,28,5,5,4,4,1,12,0.8,10,0.8,9.6,"Late Large","Late","New","Late dep",2,"Low",14.68,"Medium",6.35,2.56494935746154,1328
"2012","CrabHole197",115831,"11583","Control",197,"Crab Hole","Fall_2010",9,23.9,11.4,33.4,29.5,26.8,5,4,2,1,0.8,7.2,0.4,4,0.2,1.8,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,2.30258509299405,1329
"2013","CrabHole197",121774,"12177","Large Mesh",197,"Crab Hole","Fall_2010",10,16.9,27.6,38.5,35.7,28.3,5,3,1,1,0.6,6,0.2,2,0.2,2,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,2.39789527279837,1330
"2014","CrabHole197",115834,"11583","Control",197,"Crab Hole","Summer_2010",3,13.1,18.4,14.2,NA,NA,3,3,3,3,1,3,1,3,1,3,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,1.38629436111989,1331
"2015","CrabHole197",194547,"19454","Open",197,"Crab Hole","Fall_2010",3,15.7,19.8,23.2,NA,NA,3,3,3,2,1,3,1,3,0.666666666666667,2,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,1.38629436111989,1332
"2016","CrabHole197",142625,"14262","Small Mesh",197,"Crab Hole","Fall_2010",16,25.3,28.8,36.2,35.4,28.5,5,3,0,0,0.6,9.6,0,0,0,0,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,2.83321334405622,1333
"2017","CrabHole197",126515,"12651","Roof",197,"Crab Hole","Spring_2011",3,61.7,48.4,59.3,NA,NA,3,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,1.38629436111989,1334
"2019","CrabHole197",194548,"19454","Open",197,"Crab Hole","Fall_2010",4,19.5,21.8,18,15.3,NA,4,4,4,3,1,4,1,4,0.75,3,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,1.6094379124341,1335
"2020","CrabHole197",142622,"14262","Small Mesh",197,"Crab Hole","Fall_2010",7,41.7,26.7,38.7,22.1,28.7,5,3,1,0,0.6,4.2,0.2,1,0,0,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,2.07944154167984,1336
"2021","CrabHole197",121772,"12177","Large Mesh",197,"Crab Hole","Fall_2010",15,31.3,38.3,31.3,37.4,25.1,5,1,0,0,0.2,3,0,0,0,0,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,2.77258872223978,1337
"2022","CrabHole197",134542,"13454","Small Mesh",197,"Crab Hole","Spring_2011",1,32.3,43.1,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,0.693147180559945,1338
"2023","CrabHole197",142621,"14262","Small Mesh",197,"Crab Hole","Fall_2010",14,33.7,36,29.5,36,40.6,5,1,0,0,0.2,2.8,0,0,0,0,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,2.70805020110221,1339
"2024","CrabHole197",115835,"11583","Control",197,"Crab Hole","Summer_2010",1,11.3,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,0.693147180559945,1340
"2025","CrabHole197",115838,"11583","Control",197,"Crab Hole","Summer_2010",9,14,17.8,13.3,13.5,13.4,5,5,5,5,1,9,1,9,1,9,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,2.30258509299405,1341
"2027","CrabHole197",134541,"13454","Open",197,"Crab Hole","Summer_2010",8,18.4,16.8,16.3,13.2,10.4,5,5,5,5,1,8,1,8,1,8,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,2.19722457733622,1342
"2028","CrabHole197",121776,"12177","Large Mesh",197,"Crab Hole","Fall_2010",2,34.9,13.2,NA,NA,NA,2,1,1,1,0.5,1,0.5,1,0.5,1,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,1.09861228866811,1343
"2029","CrabHole197",194543,"19454","Open",197,"Crab Hole","Fall_2010",4,13.4,16.1,23.9,30.1,NA,4,3,3,2,0.75,3,0.75,3,0.5,2,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,1.6094379124341,1344
"2030","CrabHole197",126513,"12651","Roof",197,"Crab Hole","Fall_2010",4,32.4,28,22.2,21.8,NA,4,3,2,0,0.75,3,0.5,2,0,0,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,1.6094379124341,1345
"2031","CrabHole197",115838,"11583","Control",197,"Crab Hole","Spring_2011",7,21.1,40.1,39.6,32.8,31.9,5,1,1,0,0.2,1.4,0.2,1,0,0,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,2.07944154167984,1346
"2032","CrabHole197",126517,"12651","Roof",197,"Crab Hole","Spring_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,0,1347
"2034","CrabHole197",115837,"11583","Control",197,"Crab Hole","Summer_2010",3,17.5,19,19.1,NA,NA,3,3,3,3,1,3,1,3,1,3,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,1.38629436111989,1348
"2035","CrabHole197",126516,"12651","Roof",197,"Crab Hole","Fall_2010",2,34.1,32.4,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,1.09861228866811,1349
"2036","CrabHole197",115837,"11583","Control",197,"Crab Hole","Spring_2011",1,26,NA,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,0.693147180559945,1350
"2037","CrabHole197",126514,"12651","Roof",197,"Crab Hole","Spring_2011",6,40.9,53,42.7,42.9,49.3,5,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,1.94591014905531,1351
"2038","CrabHole197",194542,"19454","Open",197,"Crab Hole","Fall_2010",12,9.3,19.5,29.2,21.6,18.9,5,5,4,3,1,12,0.8,10,0.6,7.2,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,2.56494935746154,1352
"2040","CrabHole197",121779,"12177","Large Mesh",197,"Crab Hole","Spring_2011",3,19.4,19.8,24.9,NA,NA,3,3,3,2,1,3,1,3,0.666666666666667,2,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,1.38629436111989,1353
"2041","CrabHole197",126517,"12651","Roof",197,"Crab Hole","Fall_2010",8,32.7,22.4,28.1,26.7,21.7,5,4,2,0,0.8,6.4,0.4,3,0,0,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,2.19722457733622,1354
"2042","CrabHole197",194541,"19454","Open",197,"Crab Hole","Fall_2010",11,28,17.5,41.4,37.7,39.9,5,2,1,1,0.4,4.4,0.2,2,0.2,2.2,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,2.484906649788,1355
"2043","CrabHole197",134541,"13454","Small Mesh",197,"Crab Hole","Spring_2011",7,52.5,45.2,61.5,51.7,39.2,5,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,2.07944154167984,1356
"2044","CrabHole197",142626,"14262","Small Mesh",197,"Crab Hole","Summer_2010",9,19.2,15,16.6,9.1,12.9,5,5,5,5,1,9,1,9,1,9,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,2.30258509299405,1357
"2045","CrabHole197",115839,"11583","Control",197,"Crab Hole","Summer_2010",8,19.2,20.5,15.6,23.1,13.5,5,5,5,3,1,8,1,8,0.6,4.8,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,2.19722457733622,1358
"2049","CrabHole197",121775,"12177","Large Mesh",197,"Crab Hole","Spring_2011",3,15.6,36,43.9,NA,NA,3,1,1,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,1,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,1.38629436111989,1359
"2050","CrabHole197",115835,"11583","Control",197,"Crab Hole","Spring_2011",3,45.2,41.4,49.7,NA,NA,3,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,1.38629436111989,1360
"2051","CrabHole197",121775,"12177","Large Mesh",197,"Crab Hole","Fall_2010",2,38.8,38.7,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,1.09861228866811,1361
"2052","CrabHole197",126519,"12651","Roof",197,"Crab Hole","Fall_2010",6,23.8,34.4,27.2,32.3,16,5,3,2,1,0.6,3.6,0.4,2,0.2,1.2,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,1.94591014905531,1362
"2056","CrabHole197",115832,"11583","Control",197,"Crab Hole","Fall_2010",1,28.6,NA,NA,NA,NA,1,1,0,0,1,1,0,0,0,0,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,0.693147180559945,1363
"2057","CrabHole197",142629,"14262","Small Mesh",197,"Crab Hole","Summer_2010",3,12.7,17.9,12.7,NA,NA,3,3,3,3,1,3,1,3,1,3,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,1.38629436111989,1364
"2058","CrabHole197",142625,"14262","Small Mesh",197,"Crab Hole","Summer_2010",15,11.8,22.5,18.9,22.1,18.8,5,5,5,3,1,15,1,15,0.6,9,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,2.77258872223978,1365
"2062","CrabHole197",121776,"12177","Large Mesh",197,"Crab Hole","Fall_2011",1,34.7,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",4,"Low",14.68,"Medium",6.35,0.693147180559945,1366
"2063","CrabHole197",126514,"12651","Roof",197,"Crab Hole","Fall_2010",15,43.4,35.4,26.9,31.4,35.2,5,1,0,0,0.2,3,0,0,0,0,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,2.77258872223978,1367
"2064","CrabHole197",121771,"12177","Large Mesh",197,"Crab Hole","Fall_2010",3,32.9,17.3,26.2,NA,NA,3,2,1,1,0.666666666666667,2,0.333333333333333,1,0.333333333333333,1,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,1.38629436111989,1368
"2065","CrabHole197",121776,"12177","Large Mesh",197,"Crab Hole","Summer_2010",4,25.6,20.6,9.9,8.5,NA,4,4,3,2,1,4,0.75,3,0.5,2,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,1.6094379124341,1369
"2066","CrabHole197",121776,"12177","Large Mesh",197,"Crab Hole","Spring_2011",2,46.5,51.1,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,1.09861228866811,1370
"2068","CrabHole197",121778,"12177","Large Mesh",197,"Crab Hole","Summer_2010",15,15.8,22.5,14.1,10.7,16.8,5,5,5,4,1,15,1,15,0.8,12,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,2.77258872223978,1371
"2069","CrabHole197",134542,"13454","Open",197,"Crab Hole","Summer_2010",1,7.6,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,0.693147180559945,1372
"2070","CrabHole197",134546,"13454","Open",197,"Crab Hole","Summer_2010",9,16.2,19.3,22.6,17.9,19.9,5,5,5,4,1,9,1,9,0.8,7.2,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,2.30258509299405,1373
"2071","CrabHole197",142627,"14262","Small Mesh",197,"Crab Hole","Summer_2010",10,13,16.3,13.1,17,22.7,5,5,5,4,1,10,1,10,0.8,8,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,2.39789527279837,1374
"2072","CrabHole197",115836,"11583","Control",197,"Crab Hole","Fall_2010",5,25.3,26.5,36.5,30.3,32.4,5,2,0,0,0.4,2,0,0,0,0,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,1.79175946922805,1375
"2073","CrabHole197",121774,"12177","Large Mesh",197,"Crab Hole","Spring_2011",6,35.5,33.2,14.5,37.2,11.4,5,2,2,2,0.4,2.4,0.4,2,0.4,2.4,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,1.94591014905531,1376
"2074","CrabHole197",121771,"12177","Large Mesh",197,"Crab Hole","Spring_2011",1,19.7,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,0.693147180559945,1377
"2076","CrabHole197",121773,"12177","Large Mesh",197,"Crab Hole","Fall_2011",1,39.8,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",4,"Low",14.68,"Medium",6.35,0.693147180559945,1378
"2077","CrabHole197",121774,"12177","Large Mesh",197,"Crab Hole","Summer_2010",9,23.2,17.3,7.7,9.6,14.4,5,5,5,4,1,9,1,9,0.8,7.2,"Shell","Early","New","Early dep",1.5,"Low",14.68,"Medium",6.35,2.30258509299405,1379
"2080","CrabHole197",142629,"14262","Open",197,"Crab Hole","Spring_2011",3,28.7,48,34,NA,NA,3,1,0,0,0.333333333333333,1,0,0,0,0,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,1.38629436111989,1380
"2081","CrabHole197",142624,"14262","Open",197,"Crab Hole","Spring_2011",5,22.8,43.2,38.3,37.2,36.7,5,1,1,0,0.2,1,0.2,1,0,0,"Shell","Early","New","Early dep",3,"Low",14.68,"Medium",6.35,1.79175946922805,1381
"2083","CrabHole197",142626,"14262","Small Mesh",197,"Crab Hole","Fall_2010",9,42.7,31.3,35.8,31.4,30.6,5,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",2,"Low",14.68,"Medium",6.35,2.30258509299405,1382
